market,model,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar
csi300,prism_vq,0.0351 ± 0.0039,0.2066 ± 0.0304,0.0536 ± 0.0043,0.3151 ± 0.0281,0.1452 ± 0.0311,0.1744 ± 0.0255,-0.2474 ± 0.0977,0.8036 ± 0.2591,1.2396 ± 0.3820,0.7200 ± 0.4334
sp500,prism_vq,0.0033 ± 0.0034,0.0318 ± 0.0331,0.0007 ± 0.0038,0.0068 ± 0.0335,0.0615 ± 0.0328,0.1616 ± 0.0085,-0.1874 ± 0.0388,0.3664 ± 0.1923,0.5319 ± 0.2836,0.3575 ± 0.2345
