market,model,seed,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar,num_test_days,pred_path_or_ckpt_path
csi300,prism_vq,0,0.03535440550881743,0.2040977854702314,0.056727353663999176,0.329048675677703,0.17257647704207957,0.15576928791954936,-0.13765443125533616,1.0220464313585742,1.5635122303014666,1.2536935823153144,727,res/VQK512_csi300_mo2_k1_mh64_md0.1_dm64_nh2_l1_d0.1_au0.01_1h2_1emb128_1dl2p10_1l2_p20_ai3_ks3/0_best.pkl
csi300,prism_vq,1,0.03471957089198254,0.22212679417635534,0.05005456424022655,0.3283471408429475,0.13799435287181866,0.19978617445956617,-0.3209965399952328,0.647028623048889,1.0225068185022779,0.4298935835067507,727,res/VQK512_csi300_mo2_k1_mh64_md0.1_dm64_nh2_l1_d0.1_au0.01_1h2_1emb128_1dl2p10_1l2_p20_ai3_ks3/1_best.pkl
csi300,prism_vq,2,0.03423379056302335,0.20045258436934627,0.050330153564584035,0.29629458254748875,0.10550876853763201,0.20359337687477164,-0.36326170835265204,0.4926764051109406,0.77246860644795,0.2904483630165743,727,res/VQK512_csi300_mo2_k1_mh64_md0.1_dm64_nh2_l1_d0.1_au0.01_1h2_1emb128_1dl2p10_1l2_p20_ai3_ks3/2_best.pkl
csi300,prism_vq,3,0.030215991415749745,0.16198051684933126,0.05125224927452861,0.2761371231476405,0.12949235290437308,0.1638778140754826,-0.25270717431338985,0.7430431462182439,1.1472580470834643,0.5124205644584735,727,res/VQK512_csi300_mo2_k1_mh64_md0.1_dm64_nh2_l1_d0.1_au0.01_1h2_1emb128_1dl2p10_1l2_p20_ai3_ks3/3_best.pkl
csi300,prism_vq,4,0.04122463056147794,0.24423457091816772,0.05945555163884777,0.3455054068024302,0.1806112639278045,0.14914194325300176,-0.16220480461850173,1.1132503775113984,1.6922353000005377,1.1134766590459138,727,res/VQK512_csi300_mo2_k1_mh64_md0.1_dm64_nh2_l1_d0.1_au0.01_1h2_1emb128_1dl2p10_1l2_p20_ai3_ks3/4_best.pkl
sp500,prism_vq,0,0.003979676993509809,0.03824641382785208,0.0005015159803063673,0.00451516561517052,0.08110976772961244,0.17617966982818328,-0.22403321292975376,0.44266217744424924,0.649847915558493,0.36204349644820133,752,res/VQK512_sp500_mo8_k4_mh64_md0.1_dm64_nh4_l1_d0.1_au0.001_1h2_1emb128_1dl2p10_1l2_p20_ai3_ks3/0_best.pkl
sp500,prism_vq,1,0.00013090269039945092,0.0012232138532853832,-0.0023618529110007594,-0.021023550985751246,0.0353331261527079,0.15619366940810542,-0.17806668774836643,0.22230885592149402,0.31806350566438374,0.1984263682303039,752,res/VQK512_sp500_mo8_k4_mh64_md0.1_dm64_nh4_l1_d0.1_au0.001_1h2_1emb128_1dl2p10_1l2_p20_ai3_ks3/1_best.pkl
sp500,prism_vq,2,0.004455396409699126,0.04141293858638058,0.0038055288173892273,0.033353320634040666,0.09894757734704937,0.15642406148772214,-0.1426064923842243,0.6031870868538821,0.8826478136823589,0.693850439014061,752,res/VQK512_sp500_mo8_k4_mh64_md0.1_dm64_nh4_l1_d0.1_au0.001_1h2_1emb128_1dl2p10_1l2_p20_ai3_ks3/2_best.pkl
sp500,prism_vq,3,-0.00010722500599041542,-0.0009630235610008545,-0.0036044423238429145,-0.030248597783825677,0.019942622604546968,0.16166467597203843,-0.23101963967914763,0.12214401969227338,0.17356847694072686,0.08632436026757008,752,res/VQK512_sp500_mo8_k4_mh64_md0.1_dm64_nh4_l1_d0.1_au0.001_1h2_1emb128_1dl2p10_1l2_p20_ai3_ks3/3_best.pkl
sp500,prism_vq,4,0.008091686847282684,0.07909323581722641,0.005169590275684043,0.047183944668108935,0.0719537562800217,0.15735385583169803,-0.16109361918786147,0.4415711553581422,0.6352506319517718,0.446658015648105,752,res/VQK512_sp500_mo8_k4_mh64_md0.1_dm64_nh4_l1_d0.1_au0.001_1h2_1emb128_1dl2p10_1l2_p20_ai3_ks3/4_best.pkl
